J.L. Empie (boats manufacturers),107 Garland; sw,1910-1929,"28.543951277927203, -81.38186618926015"
J.A. Colyer (colored) (tailoring),15 W. Church; sw,1910-1929,"28.54067801935598, -81.37941478578733"
J.W. Vestal,27 W. Church; sw,1910-1929,"28.54063381100846, -81.37966188246672"
J Schnarr & Co. (Schnarr's Insecticide manufacturer),27 W. Church; sw,1910-1929,"28.54063381100846, -81.37966188246672"
Phillips & Co. (grocer),25 W. Church; sw,1910-1929,"28.540630667271724, -81.37957598248563"
J.B. Rinaldi (fruit store),19 W. Church; sw,1910-1929,"28.54061419274148, -81.37950233917371"
M.Z. Rinaldi (grocer),19 W. Church; sw,1910-1929,"28.54061419274148, -81.37950233917371"
A.D. Bell (grocer),21 W. Church; sw,1910-1929,"28.540600811009956, -81.3795122646755"
Lou Henry (restaurant) (for colored only),7 W. Church; sw,1910-1929,"28.54060015474621, -81.37932716467552"
Aro-Pepsin (manufacturer),23 W. Church. sw,1910-1929,"28.540436327655552, -81.37953662653074"
Fred J. Wadford (furniture new and 2d hand),W. Church;+A20 cor Garland; sw,1910-1929,"28.540212148662867, -81.38174745304485"
Thomas House (hotels and boarding houses),116 W. Church; sw,1910-1929,"28.540179811028825, -81.38106948248564"
Mrs. H.J. Sandlin (European Restaurant and Hotel),42 W. Church; sw,1910-1929,"28.540168767302717, -81.37980578248566"
Lucy Taylor (restaurant) (for colored only),18 W. Church; sw,1910-1929,"28.540167794685587, -81.37946459528834"
Anderson Fish and Oyster Co. (markets),22 W. Church; sw,1910-1929,"28.54016675475596, -81.37951498248565"
Grover's Transfer (transfer and hauling),22 W. Church; sw,1910-1929,"28.54016675475596, -81.37951498248565"
Ben Hansford (restaurants) (for colored only),20 W. Church; sw,1910-1929,"28.540164102050785, -81.37948924439327"
Clark-Kincaid Co. (furniture; racket and department stores),26-30 W. Church; sw,1910-1929,"28.540163256491446, -81.37956813701922"
P.F. Laubach (grain; feed; etc),34 W. Church,1910-1929,"28.540163098482633, -81.37966216469442"
Orlando Fish Co (fish only markets),34 W. Church; sw,1910-1929,"28.540163098482633, -81.37966216469442"
J. Waldecker (shooting gallery),34 W. Church; sw,1910-1929,"28.540163098482633, -81.37966216469442"
Mrs. J.A. Barker (hotels and boarding houses),310 W. Church,1910-1929,"28.54005795475842, -81.38307965794696"
Robert Parham (grocer),118 W. Church; sw,1910-1929,"28.539985654760077, -81.38116818248562"
Arlington House (hotels and borading houses),108 W. Church; sw,1910-1929,"28.53998324220521, -81.38113476469441"
Ebenezer United Methodist Church,596 W. Church St.,1910-1929,"28.539980006485433, -81.38682072978261"
Z. Phillips (grocer),600 W. Church; sw,1910-1929,"28.539907454332916, -81.38715436240496"
Magnolia Lodge No. 56 - Knights of Pythius,554 W. Church St.,1910-1929,"28.53983795476338, -81.38607186899077"
Hyres & Pounds (lumber; novelty works),N. Gertrude Ave&comma; on S.A.L.,1910-1929,"28.53970634438195, -81.38079428381366"
A.C. Crooms (col) (grocer),Lime; sw,1910-1929,"28.53884713812826, -81.38808261600703"
Orlando Bottling Works,207 Garland; sw,1910-1929,"28.545076862809807, -81.3813704533947"
A.M.E. Church,corner Veach and Beggs Sts.,1910-1929,"28.542845789102724, -81.38348187745227"
Primitive Baptist Church,Douglass St.,1910-1929,"28.542839549627185, -81.38822803119179"
Chas McDowell (real estate),707 W. Central Ace.,1910-1929,"28.542434025506026, -81.38938109364685"
Phillips Manufacturing Co. (window making machinery; etc.),101 W. Central Ave.,1910-1929,"28.542132943766614, -81.38093866536511"
Pearl Gloss Laundry,605 W. Central,1910-1929,"28.54211714988189, -81.38719406481162"
Claude Nolan (agcy Cadillac) (garages and repairing),cor W. Central and Gertrude Aves.,1910-1929,"28.541955208849572, -81.38141427619611"
San Juan Garage (agcy Studebaker) (garages and reparing),entrance from W. Central Ave&comma; rear San Juan Hotel,1910-1929,"28.541955208849572, -81.38141427619611"
Child's Cottage (hotels and boarding houses),206 W. Church; sw,1910-1929,"28.5419350820119, -81.3819844758031"
Chapman House (hotels and boarding houses),308 W. Central Ave.,1910-1929,"28.541915993930076, -81.38325589420012"
J.F. Allen (florist),720 W. Central Ave.,1910-1929,"28.5414955507498, -81.38963376296513"
J.E. Nicholson (bakery and grocer),17 W. Church; sw,1910-1929,"28.54069131897721, -81.37944435861762"
Masonic Hall,Middle Street,1910-1929,"28.540674493930318, -81.38509840094757"
M. Martin (transfer and hauling),25 1/2 W. Church; sw,1910-1929,"28.540630667271724, -81.37957598248563"
Orlando Pharmacy,23 W. Church. sw,1910-1929,"28.540436327655552, -81.37953662653074"
The Lawrence (hotels and boarding houses),101 W. Church; sw,1910-1929,"28.54041457431654, -81.38090651561706"
N.A. Mathes (shoe repair),103 W. Church; sw,1910-1929,"28.540400974397183, -81.38091847944305"
Jordan & Chett (for colored only) (barber shop),24 W. Church; sw,1910-1929,"28.54017126730256, -81.37954178248565"
Dann's Transfer (transfer and hauling) (packages and baggage),38 W. Church; nw,1910-1929,"28.540169467302654, -81.37973526467549"
T.W. Mathews (contractor; plumbing; steam and gas fitting),40 W. Church; sw,1910-1929,"28.540169067302763, -81.37977991132068"
E.R. Long (grocer),214 W. Church; sw,1910-1929,"28.540168354035643, -81.38216102544929"
Phoenix House (hotels and boarding houses),406 W. Church; sw,1910-1929,"28.54013111673749, -81.38446602236446"
C.L. Loveless (painting; decorating and paper hanging),618 W. Church; sw,1910-1929,"28.540027714083873, -81.38782141805237"
Odd Fellows' Hall,504 W. Church St.,1910-1929,"28.540006998482657, -81.38524236469442"
Odd Fellows' Temple,600 W. Church St.,1910-1929,"28.539907454332916, -81.38715436240496"
Cohoon Bros - Turtle meats; soup; clam chowder; etc-(canning plant),S. Gertrude Ave.; sw,1910-1929,"28.53970634438195, -81.38079428381366"
Cottage Home (hotels and boarding houses),cor W. Jackson and Boone,1910-1929,"28.539087408058585, -81.38013831802195"
Atlantic Coast Line Railroad,76 W. Church,1910-1929,"28.540200284919212, -81.3806469978258"
Joseph Bumby Hardware,102-118 W. Church,1910-1929,"28.540002948700316, -81.38115658248564"
